University Admission year,Do you have meritorious scholarship ?,Do you use University transportation?,What is your preferable learning mode?,Do you have personal Computer?,Do you have any health issues?,Are you engaged with any co-curriculum activities?,How many hour do you study daily?,How many hour do you spent daily in social media?,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What was your previous SGPA?,Do you have any physical disabilities?,How many Credit did you have completed?,What is your monthly family income?,What is your current CGPA?
2018,0,1,1,1,1,1,7,2,45,1,0,0,2.8,0,130,18000,2.8
2019,0,0,1,1,2,0,5,4,2,0,0,1,3.36,0,100,40000,3.59
2020,0,0,0,1,1,0,2,4,50,0,0,1,3.33,0,80,62488,3.1
2017,0,0,1,1,2,1,1,2,55,1,0,1,2.11,1,126,80000,2.54
2021,0,0,0,1,2,0,1,6,22,0,0,1,2.83,0,37,20000,3.05
2021,1,1,1,1,1,1,3,4,53,1,0,0,2.2,0,30,62488,2.2
2019,0,1,0,1,1,1,6,6,64,0,0,1,3.2,0,110,50000,3.22
2019,0,0,0,1,1,1,4,1,36,1,0,1,2.81,0,104,12000,3.2
2022,0,0,0,1,1,1,5,2,2,0,0,0,3.48,0,11,20000,3.48
2022,1,0,0,1,2,0,5,6,55,0,0,0,4.0,0,11,50000,0.0
2022,1,1,0,1,1,0,2,6,2,1,0,0,4.0,0,14,62488,4.0
2019,1,1,0,1,1,0,4,6,55,0,0,0,3.7,0,89,50000,3.5
2022,1,1,0,0,1,1,3,6,2,0,0,1,0.0,0,11,25000,0.0
2022,1,1,0,1,1,0,4,5,55,0,0,0,3.68,0,11,25000,0.0
2022,1,0,0,1,1,0,5,2,61,0,0,0,3.3,0,11,50000,3.3
2018,0,0,1,1,1,1,4,2,53,0,0,1,3.85,0,115,62488,3.1
2019,1,0,1,1,1,0,2,3,55,0,0,1,4.0,0,120,50000,3.78
2018,0,0,0,1,1,1,4,1,63,0,0,0,2.98,0,136,20000,2.91
2020,1,1,0,1,1,1,5,15,2,0,0,0,3.64,0,88,34000,3.75
2022,1,0,0,1,1,0,6,1,61,0,0,0,3.56,0,11,10000,3.58
2019,0,1,0,1,1,0,1,2,32,0,0,1,1.68,0,120,30000,3.1
2022,0,1,1,1,1,0,3,5,45,0,0,0,2.54,0,11,40000,2.54
2022,0,0,0,1,1,0,7,1,61,0,0,0,3.9,0,11,50000,3.9
2019,1,1,0,1,1,0,6,3,55,0,0,1,3.84,0,99,60000,3.77
2019,1,1,0,1,2,1,1,1,36,0,0,1,3.68,0,117,16000,3.39
2018,1,1,0,1,1,0,2,2,61,0,0,0,3.14,0,101,40000,3.14
2019,0,0,0,1,1,0,4,4,61,0,0,1,3.69,0,125,30000,3.23
2017,0,0,1,1,1,0,3,1,61,0,0,1,2.73,0,110,25000,3.08
2019,0,0,1,1,1,0,2,1,45,0,0,0,3.48,0,123,62488,3.0
2022,1,1,1,1,1,1,5,12,40,0,0,1,2.61,0,11,40000,2.61
2022,0,0,0,1,1,1,7,2,2,0,0,1,0.0,0,0,70000,0.0
2018,0,0,0,1,1,1,1,2,53,1,0,1,2.8,0,84,50000,2.68
2020,0,0,0,1,1,0,1,1,55,1,0,1,1.52,0,70,36000,2.15
2020,0,0,0,1,1,1,2,3,50,0,0,1,3.12,0,83,30000,3.08
2018,0,0,0,1,1,0,5,1,55,0,0,1,3.68,0,118,20000,3.33
2019,1,0,1,0,1,0,4,1,50,1,1,1,2.25,0,103,20000,2.64
2019,1,0,1,1,1,0,1,1,55,0,0,1,3.5,0,126,100000,3.43
2022,1,1,0,0,1,0,6,1,2,0,0,1,0.0,0,0,50000,0.0
2020,1,0,1,1,1,0,2,1,55,0,0,0,3.36,0,88,20000,3.72
2022,1,0,0,1,1,0,1,4,65,0,0,0,3.83,0,11,35000,3.83
2019,0,1,1,1,1,0,4,1,55,0,0,1,1.98,0,104,25000,2.98
2021,0,1,0,1,2,0,3,2,64,0,0,0,3.37,1,11,62488,3.37
2022,1,1,1,1,1,1,3,3,53,0,0,1,3.15,0,11,62488,3.15
2022,1,0,0,0,1,0,5,3,53,0,0,0,0.0,0,0,30000,0.0
2022,1,1,0,1,1,1,1,1,2,0,0,0,0.0,0,0,150000,0.0
2022,1,0,0,1,1,1,4,3,64,0,0,1,0.0,0,0,50000,0.0
2017,0,0,1,1,1,0,3,3,55,0,0,1,2.79,0,133,30000,2.84
2021,1,0,0,1,1,1,5,2,61,0,0,1,3.52,0,23,62488,3.65
2021,1,1,1,1,1,0,1,2,55,0,0,1,3.85,0,35,35000,3.79
2019,1,0,1,1,2,1,4,5,36,1,0,0,3.01,0,120,90000,2.89
2021,1,0,0,1,1,0,3,2,55,0,0,1,3.18,0,24,80000,3.18
2021,1,1,0,1,1,1,5,5,2,0,0,1,3.72,0,26,60000,3.89
2021,1,1,1,0,2,0,3,10,36,0,0,1,2.8,0,40,500000,2.9
2021,1,0,1,1,1,0,2,3,55,0,0,1,3.42,0,23,50000,3.56
2021,1,0,0,1,1,0,3,3,50,0,0,0,2.49,0,25,40000,3.03
2021,0,1,0,1,1,0,2,3,61,0,0,1,2.68,0,23,100000,3.15
2021,1,1,0,1,2,0,3,2,55,0,0,1,3.86,0,49,20000,3.67
2022,1,1,0,1,1,0,3,1,2,0,0,1,0.0,0,0,30000,0.0
2021,1,1,1,1,1,1,6,2,55,0,0,0,3.82,0,55,50000,3.7
2021,1,0,1,1,1,0,2,2,40,0,0,1,3.58,0,23,40000,3.1
2021,0,0,0,1,1,0,5,2,64,0,0,1,2.57,0,45,30000,2.8
2021,1,0,0,1,2,1,5,2,61,0,0,1,3.86,0,23,40000,3.92
2022,0,0,0,1,1,1,3,3,45,0,0,1,4.0,0,11,40000,4.0
2022,1,1,0,1,1,1,1,7,45,0,0,0,0.0,0,0,60000,0.0
2020,0,0,1,1,1,1,1,2,55,1,0,0,3.1,0,65,40000,3.4
2022,0,0,0,1,1,1,6,4,2,0,0,1,0.0,0,0,40000,0.0
2021,1,0,0,1,2,0,1,1,61,0,0,1,3.68,0,24,45000,3.65
2022,1,1,0,1,1,0,7,3,3,0,0,1,3.4,0,11,40000,3.4
2022,1,0,0,1,1,1,8,2,2,0,0,1,0.0,0,0,10000,0.0
2021,1,1,0,1,2,0,3,2,36,0,0,1,2.45,0,25,50000,2.95
2015,0,1,0,1,1,0,2,3,45,1,0,1,2.4,0,130,62488,2.89
2021,1,1,0,1,1,1,4,1,65,0,0,1,3.47,0,23,50000,3.2
2019,0,1,0,1,1,0,2,1,52,0,0,0,2.53,0,115,37000,3.05
2021,1,1,0,0,2,1,1,3,20,1,0,1,2.56,0,26,45000,2.72
2022,0,0,0,1,1,1,4,3,2,0,0,0,0.0,0,0,100000,0.0
2020,0,0,1,1,1,1,2,1,45,1,0,0,2.36,0,65,35000,2.56
2022,0,0,0,1,1,1,2,1,2,0,0,1,0.0,0,0,400006,0.0
2022,1,1,1,1,1,1,1,2,2,0,0,0,0.0,0,0,70000,0.0
2022,1,1,0,1,1,0,4,2,2,1,1,1,2.68,1,11,20000,3.15
2021,1,1,1,1,1,0,2,1,55,0,0,1,3.19,1,24,40000,2.73
2019,0,0,1,1,2,0,2,1,53,1,1,1,2.11,1,25,30000,2.13
2019,0,1,0,1,1,0,6,2,64,0,0,0,3.1,0,107,60000,3.07
2021,1,0,0,1,1,1,4,5,61,0,0,0,3.28,0,25,70000,3.0
2022,1,1,0,1,1,0,1,2,2,0,0,0,3.15,0,11,35000,3.15
2022,1,0,0,1,1,1,5,3,55,0,0,1,3.6,0,14,10000,3.6
2021,1,0,0,1,1,0,3,1,55,0,0,1,3.75,0,24,50000,3.7
2021,0,0,1,1,1,1,1,3,55,0,0,0,3.85,0,34,40000,3.92
2021,1,1,0,1,1,0,3,2,55,0,0,0,2.68,0,23,100000,2.68
2021,1,0,1,1,1,0,3,1,65,0,0,1,3.18,0,11,62488,3.18
2019,1,0,0,1,1,0,2,1,55,0,0,1,3.39,0,128,5000,3.4
2021,0,0,1,1,2,0,4,4,2,0,0,1,2.98,0,25,60000,3.38
2021,0,0,0,1,1,0,9,3,63,1,0,0,3.7,0,23,50000,3.15
2018,0,1,0,1,1,0,1,2,45,1,0,1,3.25,0,130,40000,2.95
2021,0,1,1,1,1,0,2,3,50,0,0,0,3.03,0,25,30000,3.21
2021,0,0,0,1,1,0,2,3,61,0,0,0,3.1,0,48,50000,3.18
2022,1,1,0,1,1,0,2,3,64,0,0,1,3.7,0,12,120000,3.7
2022,1,1,0,1,1,1,9,6,36,1,0,1,4.0,0,12,30000,4.0
2021,1,1,0,1,1,1,1,2,50,0,0,1,3.18,0,23,62488,3.45
2021,1,1,0,1,1,0,2,3,2,0,0,1,3.61,0,25,40000,3.74
2021,1,0,1,1,1,0,2,0,36,0,0,0,3.01,0,23,70000,3.22
2021,0,1,0,1,2,0,2,5,45,0,0,0,3.26,0,23,40000,3.36
2016,1,0,0,1,1,1,1,2,2,0,0,0,3.6,0,130,300000,3.72
2021,0,0,0,1,2,0,2,5,2,0,0,0,3.12,0,23,50000,3.01
2022,1,0,0,1,1,1,4,2,2,0,0,1,3.93,0,11,50000,3.93
2021,1,0,1,1,1,1,5,6,61,1,0,0,3.0,0,23,150000,3.55
2019,0,0,1,1,1,1,1,3,36,1,0,1,1.61,0,40,25000,2.44
